# Every function start in the executable, named or not - generated from the Ghidra decompile.
# Needed so an address can be attributed to the function that actually contains it: symbols.tsv
# holds only named functions, so the nearest preceding *name* can be thousands of bytes away and
# in a different function entirely.
001059f8	BuildCommand_SwitchCharacter
00105a48	BuildCommand_PlayerVehicleBounce
00105a80	BuildCommand_SetKeyNearestPlayer
00105ab4	BuildCommand_RaycastFocusPosition
00105acc	BuildCommand_SetFocusToPlayer
00105b64	BuildCommand_RequestFocus
00105bb0	BuildCommand_RequestFocus2
00105be8	BuildCommand_RequestFocus3
00105d2c	BuildCommand_ReduceHitPoints
00105d44	BuildCommand_SetHitPoints
00105da0	BuildCommand_DUMMY_SetRayTests
00105db8	BuildCommand_DUMMY_NowGoForwardCollidable
00105df0	BuildCommand_DUMMY_536
00105e24	BuildCommand_DUMMY_FuelPayGate
00105e40	BuildCommand_SetCamera
00105ea8	BuildCommand_RestoreCameraDefaults
00105f40	BuildCommand_PlayerFaceTowardsCamera
00106044	BuildCommand_CameraSaveParams
0010607c	BuildCommand_CameraLoadParams
001060c0	BuildCommand_ToggleCutsceneCamera
0010617c	BuildCommand_CameraFocusObject
00106198	BuildCommand_CameraStopFocusObject
001061b4	BuildCommand_DUMMY_609
001061d0	BuildCommand_DUMMY_610
001062cc	BuildCommand_CameraTopdownMode
001062e8	BuildCommand_ResetCamera
00106304	BuildCommand_OpenAllLinkedFurniture
00106320	BuildCommand_CloseAllLinkedFurniture
0010633c	BuildCommand_AttachAllLinkedAgents
00106374	BuildCommand_DetachAllLinkedAgents
00106390	BuildCommand_AddCrystal
001063ac	BuildCommand_AddGem
001063d0	BuildCommand_CA_PickUpHealth
001063ec	BuildCommand_DUMMY_538
00106408	BuildCommand_CA_PickUpWumpa
0010643c	BuildCommand_CA_SetPickup
00106454	BuildCommand_CA_SetProjectile
001064dc	BuildCommand_Shoot
001065d0	BuildCommand_GetShortRoute
00106650	BuildCommand_SetPlayerRespawnPosition
0010670c	BuildCommand_ExitVehicleMode
00106728	BuildCommand_SetVehicleRollerbrawl
0010675c	BuildCommand_SetVehicleHumiliskate
00106798	BuildCommand_SetVehicleHoverboard
