# Names for Crash Twinsanity's PAL executable (SLES_525.68), applied by tools/re/ghidra.py import.
# address	kind	name	detail        kind F = function (detail = prototype), L = label (detail = data type)
00103884	F	BuildCommand_RequestMessSourceAsFocus3	undefined4 * BuildCommand_RequestMessSourceAsFocus3(void)
001038f4	F	BuildCommand_NextRouteNode	void BuildCommand_NextRouteNode(void)
0010392c	F	BuildCommand_DiscardRoute	void BuildCommand_DiscardRoute(void)
0010399c	F	BuildCommand_SetCollisions	void BuildCommand_SetCollisions(void)
00103a60	F	BuildCommand_SetLogicalRadius	undefined4 * BuildCommand_SetLogicalRadius(void)
00103aa0	F	BuildCommand_ClearCollisions	void BuildCommand_ClearCollisions(void)
00103abc	F	BuildCommand_ContinueColliderMotion	undefined4 * BuildCommand_ContinueColliderMotion(void)
00103b80	F	BuildCommand_RevertColliderMotion	void BuildCommand_RevertColliderMotion(void)
00103b9c	F	BuildCommand_ColliderLaunchNow	void BuildCommand_ColliderLaunchNow(void)
00103c74	F	BuildCommand_ApplyImpulse	undefined4 * BuildCommand_ApplyImpulse(void)
00103e0c	F	BuildCommand_BecomeSticky	void BuildCommand_BecomeSticky(void)
00103e48	F	BuildCommand_BecomeNormal	undefined4 * BuildCommand_BecomeNormal(void)
00103eb8	F	BuildCommand_ClearContactResponse	void BuildCommand_ClearContactResponse(void)
00103f64	F	BuildCommand_SetSurface	undefined4 * BuildCommand_SetSurface(void)
001041a8	F	BuildCommand_AttachSpring	undefined4 * BuildCommand_AttachSpring(void)
00104238	F	BuildCommand_DetachAllSprings	void BuildCommand_DetachAllSprings(void)
00104254	F	BuildCommand_DropAttachedObject	undefined4 * BuildCommand_DropAttachedObject(void)
00104314	F	BuildCommand_ThrowAttachedObject	undefined4 * BuildCommand_ThrowAttachedObject(void)
00104428	F	BuildCommand_RequestDetach	void BuildCommand_RequestDetach(void)
00104444	F	BuildCommand_DestroySpawnedAttachment	undefined4 * BuildCommand_DestroySpawnedAttachment(void)
00104484	F	BuildCommand_ForceVolumeController	void BuildCommand_ForceVolumeController(void)
0010450c	F	BuildCommand_SetCounter	undefined4 * BuildCommand_SetCounter(void)
0010457c	F	BuildCommand_ModifyCounter	undefined4 * BuildCommand_ModifyCounter(void)
00104668	F	BuildCommand_PositionJoint	undefined4 * BuildCommand_PositionJoint(void)
00104694	F	BuildCommand_SubtypeOf146_2	undefined4 * BuildCommand_SubtypeOf146_2(void)
00104920	F	BuildCommand_NowRotateJoint	undefined4 * BuildCommand_NowRotateJoint(void)
00104950	F	BuildCommand_AttachFocusObject2	undefined4 * BuildCommand_AttachFocusObject2(void)
00104ad4	F	BuildCommand_SetFocusToKey2	undefined4 * BuildCommand_SetFocusToKey2(void)
00104b38	F	BuildCommand_SetFocusToAgent4	undefined4 * BuildCommand_SetFocusToAgent4(void)
00104b84	F	BuildCommand_RequestMessagersFocus4	undefined4 * BuildCommand_RequestMessagersFocus4(void)
00104bb4	F	BuildCommand_SetFocusPosition2	undefined4 * BuildCommand_SetFocusPosition2(void)
00104ce4	F	BuildCommand_AddNoiseToFocusPos2	undefined4 * BuildCommand_AddNoiseToFocusPos2(void)
00104d5c	F	BuildCommand_SubtypeOf146_1	undefined4 * BuildCommand_SubtypeOf146_1(void)
00104dd4	F	BuildCommand_CreateCrateContents	undefined4 * BuildCommand_CreateCrateContents(void)
00104f1c	F	BuildCommand_DamageOriginator	undefined4 * BuildCommand_DamageOriginator(void)
00104fac	F	BuildCommand_SetAgent	void BuildCommand_SetAgent(void)
00104fc8	F	BuildCommand_ResetGame	void BuildCommand_ResetGame(void)
00104fe4	F	BuildCommand_PlayCredits	void BuildCommand_PlayCredits(void)
00105000	F	BuildCommand_ForceGameOver	void BuildCommand_ForceGameOver(void)
0010501c	F	BuildCommand_SetPlayerMode	void BuildCommand_SetPlayerMode(void)
001050c4	F	BuildCommand_DemoHubMusicFlagOn	void BuildCommand_DemoHubMusicFlagOn(void)
001050e0	F	BuildCommand_FadeoutScreen	undefined4 * BuildCommand_FadeoutScreen(void)
00105140	F	BuildCommand_BottomTextDisplay	void BuildCommand_BottomTextDisplay(void)
00105188	F	BuildCommand_BottomTextClear	void BuildCommand_BottomTextClear(void)
001051a4	F	BuildCommand_DisplayBottomTextInstance	void BuildCommand_DisplayBottomTextInstance(void)
001051e0	F	BuildCommand_CutsceneStart	void BuildCommand_CutsceneStart(void)
00105204	F	BuildCommand_CutsceneEnd	void BuildCommand_CutsceneEnd(void)
00105228	F	BuildCommand_BottomTextShow	void BuildCommand_BottomTextShow(void)
0010524c	F	BuildCommand_BottomTextHide	void BuildCommand_BottomTextHide(void)
001052ec	F	BuildCommand_SetCrate	void BuildCommand_SetCrate(void)
0010531c	F	BuildCommand_TriggerBalancedCrateFalling	void BuildCommand_TriggerBalancedCrateFalling(void)
00105370	F	BuildCommand_ControllerRumble	void BuildCommand_ControllerRumble(void)
00105400	F	BuildCommand_SubtypeOf641_1	undefined4 * BuildCommand_SubtypeOf641_1(void)
00105448	F	BuildCommand_SubtypeOf641_2	undefined4 * BuildCommand_SubtypeOf641_2(void)
00105490	F	BuildCommand_SubtypeOf641_3	undefined4 * BuildCommand_SubtypeOf641_3(void)
001054d8	F	BuildCommand_SubtypeOf641_4	undefined4 * BuildCommand_SubtypeOf641_4(void)
00105554	F	BuildCommand_CharacterSoundProxy	undefined4 * BuildCommand_CharacterSoundProxy(void)
00105594	F	BuildCommand_LinkToFocusCharacter	void BuildCommand_LinkToFocusCharacter(void)
001055b0	F	BuildCommand_UnlinkCharacters	void BuildCommand_UnlinkCharacters(void)
0010561c	F	BuildCommand_SetPlayerInput	undefined4 * BuildCommand_SetPlayerInput(void)
0010566c	F	BuildCommand_TriggerAllNitroCrates	void BuildCommand_TriggerAllNitroCrates(void)
00105688	F	BuildCommand_ApplyVelocity	undefined4 * BuildCommand_ApplyVelocity(void)
00105770	F	BuildCommand_ApplyVelocityToSelf	undefined4 * BuildCommand_ApplyVelocityToSelf(void)
00105820	F	BuildCommand_NowGoBackCollidable	undefined4 * BuildCommand_NowGoBackCollidable(void)
00105858	F	BuildCommand_SetChiChiGrass	void BuildCommand_SetChiChiGrass(void)
00105920	F	BuildCommand_DismissCharacter	void BuildCommand_DismissCharacter(void)
001059a0	F	BuildCommand_DisablePlayerControl	void BuildCommand_DisablePlayerControl(void)
001059f8	F	BuildCommand_SwitchCharacter	undefined4 * BuildCommand_SwitchCharacter(void)
00105a48	F	BuildCommand_PlayerVehicleBounce	void BuildCommand_PlayerVehicleBounce(void)
00105a80	F	BuildCommand_SetKeyNearestPlayer	void BuildCommand_SetKeyNearestPlayer(void)
00105ab4	F	BuildCommand_RaycastFocusPosition	void BuildCommand_RaycastFocusPosition(void)
00105acc	F	BuildCommand_SetFocusToPlayer	void BuildCommand_SetFocusToPlayer(void)
00105b64	F	BuildCommand_RequestFocus	void BuildCommand_RequestFocus(void)
00105bb0	F	BuildCommand_RequestFocus2	void BuildCommand_RequestFocus2(void)
00105be8	F	BuildCommand_RequestFocus3	void BuildCommand_RequestFocus3(void)
00105d2c	F	BuildCommand_ReduceHitPoints	void BuildCommand_ReduceHitPoints(void)
00105d44	F	BuildCommand_SetHitPoints	void BuildCommand_SetHitPoints(void)
00105da0	F	BuildCommand_DUMMY_SetRayTests	void BuildCommand_DUMMY_SetRayTests(void)
00105db8	F	BuildCommand_DUMMY_NowGoForwardCollidable	void BuildCommand_DUMMY_NowGoForwardCollidable(void)
00105df0	F	BuildCommand_DUMMY_536	void BuildCommand_DUMMY_536(void)
00105e24	F	BuildCommand_DUMMY_FuelPayGate	void BuildCommand_DUMMY_FuelPayGate(void)
00105e40	F	BuildCommand_SetCamera	undefined4 * BuildCommand_SetCamera(void)
00105ea8	F	BuildCommand_RestoreCameraDefaults	void BuildCommand_RestoreCameraDefaults(void)
00105f40	F	BuildCommand_PlayerFaceTowardsCamera	void BuildCommand_PlayerFaceTowardsCamera(void)
00106044	F	BuildCommand_CameraSaveParams	undefined4 * BuildCommand_CameraSaveParams(void)
0010607c	F	BuildCommand_CameraLoadParams	undefined4 * BuildCommand_CameraLoadParams(void)
001060c0	F	BuildCommand_ToggleCutsceneCamera	undefined4 * BuildCommand_ToggleCutsceneCamera(void)
0010617c	F	BuildCommand_CameraFocusObject	void BuildCommand_CameraFocusObject(void)
00106198	F	BuildCommand_CameraStopFocusObject	void BuildCommand_CameraStopFocusObject(void)
001061b4	F	BuildCommand_DUMMY_609	void BuildCommand_DUMMY_609(void)
001061d0	F	BuildCommand_DUMMY_610	void BuildCommand_DUMMY_610(void)
001062cc	F	BuildCommand_CameraTopdownMode	void BuildCommand_CameraTopdownMode(void)
001062e8	F	BuildCommand_ResetCamera	void BuildCommand_ResetCamera(void)
00106304	F	BuildCommand_OpenAllLinkedFurniture	void BuildCommand_OpenAllLinkedFurniture(void)
00106320	F	BuildCommand_CloseAllLinkedFurniture	void BuildCommand_CloseAllLinkedFurniture(void)
0010633c	F	BuildCommand_AttachAllLinkedAgents	undefined4 * BuildCommand_AttachAllLinkedAgents(void)
00106374	F	BuildCommand_DetachAllLinkedAgents	void BuildCommand_DetachAllLinkedAgents(void)
00106390	F	BuildCommand_AddCrystal	void BuildCommand_AddCrystal(void)
001063ac	F	BuildCommand_AddGem	void BuildCommand_AddGem(void)
001063d0	F	BuildCommand_CA_PickUpHealth	void BuildCommand_CA_PickUpHealth(void)
001063ec	F	BuildCommand_DUMMY_538	void BuildCommand_DUMMY_538(void)
00106408	F	BuildCommand_CA_PickUpWumpa	void BuildCommand_CA_PickUpWumpa(void)
0010643c	F	BuildCommand_CA_SetPickup	void BuildCommand_CA_SetPickup(void)
00106454	F	BuildCommand_CA_SetProjectile	undefined4 * BuildCommand_CA_SetProjectile(void)
001064dc	F	BuildCommand_Shoot	undefined4 * BuildCommand_Shoot(void)
001065d0	F	BuildCommand_GetShortRoute	void BuildCommand_GetShortRoute(void)
00106650	F	BuildCommand_SetPlayerRespawnPosition	void BuildCommand_SetPlayerRespawnPosition(void)
0010670c	F	BuildCommand_ExitVehicleMode	void BuildCommand_ExitVehicleMode(void)
00106728	F	BuildCommand_SetVehicleRollerbrawl	void BuildCommand_SetVehicleRollerbrawl(void)
0010675c	F	BuildCommand_SetVehicleHumiliskate	void BuildCommand_SetVehicleHumiliskate(void)
00106798	F	BuildCommand_SetVehicleHoverboard	undefined4 * BuildCommand_SetVehicleHoverboard(void)
001067dc	F	BuildCommand_SetVehicleWrestleCreature	void BuildCommand_SetVehicleWrestleCreature(void)
0010683c	F	BuildCommand_DUMMY_584	void BuildCommand_DUMMY_584(void)
00106858	F	BuildCommand_DUMMY_586	void BuildCommand_DUMMY_586(void)
00106888	F	BuildCommand_BossModeEnable	undefined4 * BuildCommand_BossModeEnable(void)
001068dc	F	BuildCommand_BossModeDamage	void BuildCommand_BossModeDamage(void)
001068f8	F	BuildCommand_BossModeExit	void BuildCommand_BossModeExit(void)
00106914	F	BuildCommand_WhackawormStart	undefined4 * BuildCommand_WhackawormStart(void)
0010696c	F	BuildCommand_WhackawormProgress	void BuildCommand_WhackawormProgress(void)
00106988	F	BuildCommand_WhackawormEnd	void BuildCommand_WhackawormEnd(void)
00106bac	F	BuildCommand_PlayMovie	undefined4 * BuildCommand_PlayMovie(void)
00106bf4	F	BuildCommand_AddAmmo	void BuildCommand_AddAmmo(void)
00106c40	F	BuildScriptCondition	ScriptCondition * BuildScriptCondition(ObjectBuilderInterface * param_1, undefined4 index, int unkNegativeNumber)
00106c7c	F	BuildCondition_Next	undefined4 * BuildCondition_Next(void)
00106ca4	F	BuildCondition_Else	void BuildCondition_Else(void)
00106cc0	F	BuildCondition_Random	void BuildCondition_Random(void)
00106cdc	F	BuildCondition_IsBusy	void BuildCondition_IsBusy(void)
00106d30	F	BuildCondition_FocusIsBusy	void BuildCondition_FocusIsBusy(void)
00106da0	F	BuildCondition_TimeInUnit	void BuildCondition_TimeInUnit(void)
00106dbc	F	BuildCondition_IsInExternalScript	void BuildCondition_IsInExternalScript(void)
00106e10	F	BuildCondition_ActorSubtypeEquals	void BuildCondition_ActorSubtypeEquals(void)
00106e64	F	BuildCondition_SoftFlagSet	void BuildCondition_SoftFlagSet(void)
00106e80	F	BuildCondition_GotRoute	void BuildCondition_GotRoute(void)
00106ed4	F	BuildCondition_GotKeys	void BuildCondition_GotKeys(void)
00106ef0	F	BuildCondition_GotAnyFocus	void BuildCondition_GotAnyFocus(void)
00106f0c	F	BuildCondition_GotFocusObject	void BuildCondition_GotFocusObject(void)
00106f28	F	BuildCondition_GotFocusPosition	void BuildCondition_GotFocusPosition(void)
00106f44	F	BuildCondition_FocusActorEquals	void BuildCondition_FocusActorEquals(void)
00106f7c	F	BuildCondition_FocusHasAttachment	void BuildCondition_FocusHasAttachment(void)
00106fb4	F	BuildCondition_AnimationFinished	void BuildCondition_AnimationFinished(void)
00106fd0	F	BuildCondition_GetAnimationTimeRemaining	void BuildCondition_GetAnimationTimeRemaining(void)
00106fec	F	BuildCondition_IsPathComplete	void BuildCondition_IsPathComplete(void)
00107008	F	BuildCondition_CurrentKey	void BuildCondition_CurrentKey(void)
00107040	F	BuildCondition_CurrentKeyEquals	void BuildCondition_CurrentKeyEquals(void)
00107078	F	BuildCondition_XCycle	void BuildCondition_XCycle(void)
