# address	kind	text        kind 3 = plate, 1 = pre, 0 = end of line, 2 = post; newlines escaped
002bd320	3	Library Function - Single Match\nName: _motionComp0\nLibrary: ps2_sdk 3.0.3 libmpeg
002bd570	3	Library Function - Single Match\nName: _getRef0\nLibrary: ps2_sdk 3.0.3 libmpeg
002bdc18	3	Library Function - Single Match\nName: _sceMpegPictureData0\nLibrary: ps2_sdk 3.0.3 libmpeg
002bde58	3	Library Function - Single Match\nName: _slice0\nLibrary: ps2_sdk 3.0.3 libmpeg
002be188	3	Library Function - Single Match\nName: _motionVector\nLibrary: ps2_sdk 3.0.3 libmpeg
002be5b0	3	Library Function - Single Match\nName: _motionVectors\nLibrary: ps2_sdk 3.0.3 libmpeg
002be750	3	Library Function - Single Match\nName: _decMB0\nLibrary: ps2_sdk 3.0.3 libmpeg
002beca8	3	Library Function - Single Match\nName: _sceMpegMbAddressIncrement\nLibrary: ps2_sdk 3.0.3 libmpeg
002bee20	3	Library Function - Single Match\nName: _sceMpegWaitIpuIdle\nLibrary: ps2_sdk 3.0.3 libmpeg
002bef88	3	Library Function - Single Match\nName: _sceMpegWaitIpuIdle64\nLibrary: ps2_sdk 3.0.3 libmpeg
002bf108	3	Library Function - Single Match\nName: _sceMpegNextBit\nLibrary: ps2_sdk 3.0.3 libmpeg
002bf1f0	3	Library Function - Single Match\n _sceMpegPeepBit\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002bf280	3	Library Function - Single Match\nName: _sceMpegFlushBuf\nLibrary: ps2_sdk 3.0.3 libmpeg
002bf318	3	Library Function - Single Match\n _waitIpuIdle\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002bf358	3	Library Function - Single Match\nName: _skipMB0\nLibrary: ps2_sdk 3.0.3 libmpeg
002bf418	3	Library Function - Single Match\n _copyAddRefImage\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002bf5c8	3	Library Function - Single Match\nName: dmaRefImage\nLibrary: ps2_sdk 3.0.3 libmpeg
002c0438	3	Library Function - Single Match\nName: receiveDataFromIPU\nLibrary: ps2_sdk 3.0.3 libmpeg
002c04d8	3	Library Function - Single Match\nName: gcc2_compiled.\nLibrary: ps2_sdk 3.0.3 libmpeg
002c0678	3	Library Function - Single Match\nName: _initSeq\nLibrary: ps2_sdk 3.0.3 libmpeg
002c0990	3	Library Function - Single Match\nName: _sequenceHeader\nLibrary: ps2_sdk 3.0.3 libmpeg
002c0c40	3	Library Function - Single Match\n _groupOfPicturesHeader\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002c0ce0	3	Library Function - Single Match\nName: _pictureHeader\nLibrary: ps2_sdk 3.0.3 libmpeg
002c0e28	3	Library Function - Single Match\n _sequenceExtension\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002c0f68	3	Library Function - Single Match\n _quantMatrixExtension\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002c1278	3	Library Function - Single Match\nName: _extensionAndUserData\nLibrary: ps2_sdk 3.0.3 libmpeg
002c1448	3	Library Function - Single Match\n _waitIpuIdle\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002c1488	3	Library Function - Single Match\nName: _sceMpegNextHeader\nLibrary: ps2_sdk 3.0.3 libmpeg
002c15e8	3	Library Function - Single Match\n flushByteBoundary\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002c1638	3	Library Function - Single Match\n _sequenceDisplayExtension\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002c16c8	3	Library Function - Single Match\n _copyrightExtension\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002c1760	3	Library Function - Single Match\nName: _pictureDisplayExtension\nLibrary: ps2_sdk 3.0.3 libmpeg
002c1858	3	Library Function - Single Match\n setD3_CHCR\n\nLibrary: ps2_sdk 3.0.3 libipu
002c18d0	3	Library Function - Single Match\n setD4_CHCR\n\nLibrary: ps2_sdk 3.0.3 libipu
002c1948	3	Library Function - Single Match\n sceIpuStopDMA\n\nLibrary: ps2_sdk 3.0.3 libipu
002c1a30	3	Library Function - Single Match\n sceIpuRestartDMA\n\nLibrary: ps2_sdk 3.0.3 libipu
002c1b80	3	Library Function - Single Match\nName: sceIpuSync\nLibrary: ps2_sdk 3.0.3 libipu
002c1be8	3	Library Function - Single Match\n setD4_CHCR\n\nLibrary: ps2_sdk 3.0.3 libipu
002c26b0	3	Library Function - Single Match\nName: sceGsSyncVCallback\nLibrary: ps2_sdk 3.0.3 libgraph
002c2758	3	Library Function - Single Match\n memclr\n\nLibrary: ps2_sdk 3.0.3 libdma
002c27b8	3	Library Function - Single Match\n sceDmaReset\n\nLibrary: ps2_sdk 3.0.3 libdma
002c2898	3	Library Function - Single Match\nName: sceDmaPutEnv\nLibrary: ps2_sdk 3.0.3 libdma
002c2ac0	3	Library Function - Single Match\nName: sceDevVu0Pause\nLibrary: ps2_sdk 3.0.3 libdev
002c2b20	3	Library Function - Single Match\nName: sceDevVu0Sync\nLibrary: ps2_sdk 3.0.3 libdev
002c2ba0	3	Library Function - Single Match\nName: sceDevVu1Pause\nLibrary: ps2_sdk 3.0.3 libdev
002c2c00	3	Library Function - Single Match\nName: sceDevVu1Sync\nLibrary: ps2_sdk 3.0.3 libdev
002c2e08	3	Library Function - Single Match\n _pad_intr_hdr\n\nLibrary: ps2_sdk 3.0.3 libpad
002c2e50	3	Library Function - Single Match\nName: scePadInit2\nLibrary: ps2_sdk 3.0.3 libpad
002c2f48	3	Library Function - Single Match\nName: _send_to_iop\nLibrary: ps2_sdk 3.0.3 libpad
002c3060	3	Library Function - Single Match\nName: scePadPortOpen\nLibrary: ps2_sdk 3.0.3 libpad
002c3248	3	Library Function - Single Match\nName: scePadPortClose\nLibrary: ps2_sdk 3.0.3 libpad
002c3300	3	Library Function - Single Match\nName: scePadGetDmaStr\nLibrary: ps2_sdk 3.0.3 libpad
002c3458	3	Library Function - Single Match\nName: scePadRead\nLibrary: ps2_sdk 3.0.3 libpad
002c34d0	3	Library Function - Single Match\nName: scePadGetState\nLibrary: ps2_sdk 3.0.3 libpad
002c3550	3	Library Function - Single Match\nName: scePadSetReqState\nLibrary: ps2_sdk 3.0.3 libpad
002c3608	3	Library Function - Single Match\nName: scePadGetReqState\nLibrary: ps2_sdk 3.0.3 libpad
002c3668	3	Library Function - Single Match\nName: scePadInfoAct\nLibrary: ps2_sdk 3.0.3 libpad
